country,avgSafetyIndex,cost of living index,rent index,groceries index,region,healthcare price,avgMntTransportCost
Montenegro,59.660000000000004,39.4,15.8,36.7,Europe,375.0,
Morocco,51.96,29.5,7.4,29.8,Africa,98.96273627,24.25
Nepal,63.379999999999995,25.5,3.5,25.6,Asia,33.0,8.92
Netherlands,72.74,63.1,33.5,59.9,,613.0,73.838
New Zealand,56.0,64.6,25.9,71.9,Oceania,572.37451028,128.92000000000002
Nigeria,35.36,31.4,22.1,37.5,Africa,63.92290481,
North Macedonia,59.98,33.0,6.5,32.1,Europe,234.0,26.3
Norway,66.26,76.0,26.2,79.0,Europe,1269.0,79.08333333333333
Oman,80.03999999999999,42.4,12.2,39.9,Asia,52.2882675,
Pakistan,56.9,18.8,2.8,17.5,Asia,24.77562122,5.140000000000001
Palestine,57.220000000000006,41.6,8.0,40.7,,,
Panama,55.02,46.4,20.1,48.3,Southern America,528.33483547,
Paraguay,50.1,25.4,9.1,24.0,Southern America,172.03663617,
Peru,32.54,30.0,9.6,31.5,Southern America,112.18378935,24.02
Philippines,57.56,31.0,7.1,35.0,Asia,91.0,
Poland,70.5,40.8,17.1,36.8,Europe,235.0,31.2125
Portugal,69.44,45.1,24.0,43.8,Europe,796.0,43.17
Puerto Rico,37.019999999999996,63.3,19.5,64.1,Southern America,,
Qatar,86.24,51.3,36.1,43.9,Asia,126.82924471,35.75
Romania,69.92,37.5,9.9,36.6,Europe,202.0,19.87
Russia,60.160000000000004,31.0,10.0,28.8,,,27.076666666666668
Saudi Arabia,74.34,45.3,11.3,41.6,Asia,146.45364871,35.95
Serbia,61.9,37.7,12.4,36.0,Europe,328.70428268,22.576666666666668
Singapore,71.22,76.7,67.2,74.6,Asia,893.216002,90.9
Slovakia,69.67999999999999,46.7,14.8,46.7,Europe,,38.86
Slovenia,77.2,49.9,18.7,49.0,Europe,358.0,40.47
South Africa,23.7,34.5,11.5,29.7,Africa,32.14123071,66.09
South Korea,73.64,60.1,16.0,81.4,,,44.97
Spain,65.82000000000001,47.3,22.9,46.0,Europe,679.0964175,31.700000000000003
Sri Lanka,58.779999999999994,34.6,5.6,49.3,Asia,73.0,6.82
Sweden,51.96,59.3,20.9,60.8,Europe,903.0,78.08
Switzerland,77.3,101.1,46.5,109.1,Europe,2474.43270121,92.63000000000002
Syria,32.0,24.0,3.7,24.5,,,
Taiwan,84.125,45.2,13.1,60.1,,,37.44
Tanzania,43.62,23.8,8.4,25.4,,9.49989908,
Thailand,60.839999999999996,34.1,11.2,40.5,Asia,32.95560846,38.53
Trinidad And Tobago,28.619999999999997,52.6,13.1,55.3,,,
Tunisia,56.279999999999994,28.1,4.7,31.4,Africa,89.56988116,
Turkey,60.06,37.4,13.2,37.6,,,24.64
Uganda,43.760000000000005,29.1,7.7,29.3,Africa,13.57890566,
Ukraine,52.46,25.9,7.6,25.4,Europe,170.0,12.010000000000002
United Arab Emirates,84.62,55.8,41.3,45.3,Asia,245.45161222,53.09
United Kingdom,54.04,62.0,31.1,56.9,,775.39633468,110.66
United States,51.720000000000006,70.4,41.7,75.0,,1285.33004727,
Uruguay,47.739999999999995,54.1,13.8,52.1,Southern America,250.13733709,48.17
Uzbekistan,66.875,26.4,11.2,28.4,Asia,95.0,10.71
Venezuela,16.78,38.3,5.8,39.5,,,
Vietnam,55.220000000000006,28.7,9.0,33.9,,,10.415
Zimbabwe,40.5,37.2,10.0,35.5,Africa,6.4337428,
